Time,OpeningPrice,HighPrice,LowPrice,TradePrice,CandleAccTradeVolume,candleAccTradePrice,up
2021-02-06T13:00:00+09:00,108.0,119.0,104.0,116.0,19393377.39315381,2180511425.6664214,0
2021-02-06T17:00:00+09:00,116.0,128.0,106.0,108.0,47791556.46789832,5703159726.708233,1
2021-02-06T21:00:00+09:00,108.0,113.0,106.0,110.0,12141945.91736719,1323362328.403111,0
2021-02-07T01:00:00+09:00,109.0,113.0,109.0,110.0,3592284.57449834,399517064.4317093,1
2021-02-07T05:00:00+09:00,112.0,118.0,110.0,112.0,8741982.74828306,998108767.5378431,0
2021-02-07T09:00:00+09:00,113.0,113.0,103.0,105.0,9994457.52471043,1072194284.871049,0
2021-02-07T13:00:00+09:00,106.0,106.0,103.0,106.0,4250876.1923019,443632043.92974365,0
2021-02-07T17:00:00+09:00,106.0,107.0,104.0,106.0,2548051.36149581,269425106.5596873,0
2021-02-07T21:00:00+09:00,106.0,106.0,99.3,100.0,5962433.86294159,609314440.0801529,1
2021-02-08T01:00:00+09:00,100.0,104.0,99.6,104.0,1483274.44116349,149979704.45529172,0
2021-02-08T05:00:00+09:00,103.0,105.0,103.0,104.0,1445225.68629202,149736657.0719712,0
2021-02-08T09:00:00+09:00,104.0,105.0,101.0,102.0,2434663.29401609,250575446.78710777,1
2021-02-08T13:00:00+09:00,102.0,105.0,101.0,105.0,2191798.61723202,226976539.00664335,1
2021-02-08T17:00:00+09:00,104.0,113.0,104.0,108.0,9014332.51907812,977349582.5494301,0
2021-02-08T21:00:00+09:00,108.0,110.0,104.0,105.0,5727562.36287328,615511279.5903387,0
2021-02-09T01:00:00+09:00,105.0,107.0,104.0,105.0,1202892.28899626,126395017.21464616,1
2021-02-09T05:00:00+09:00,106.0,108.0,105.0,107.0,2335394.73856336,249445046.46944407,1
2021-02-09T09:00:00+09:00,108.0,115.0,107.0,109.0,7043601.44346459,775601927.0636264,0
2021-02-09T13:00:00+09:00,110.0,111.0,107.0,110.0,3018974.1253371,330166872.3690965,0
2021-02-09T17:00:00+09:00,110.0,111.0,107.0,110.0,3642721.36465613,399864385.34117407,1
2021-02-09T21:00:00+09:00,111.0,117.0,108.0,116.0,4946364.15864988,551653058.2595586,0
2021-02-10T01:00:00+09:00,117.0,120.0,112.0,114.0,4119880.2360101,475015266.76136976,0
2021-02-10T05:00:00+09:00,114.0,117.0,113.0,113.0,2068242.37490767,236981779.37305763,1
2021-02-10T09:00:00+09:00,113.0,131.0,111.0,122.0,27208695.12678646,3333823642.161475,1
2021-02-10T13:00:00+09:00,123.0,130.0,119.0,124.0,12401954.17782125,1528608448.2794163,0
2021-02-10T17:00:00+09:00,124.0,125.0,120.0,123.0,6790688.66915323,832303297.1191292,0
2021-02-10T21:00:00+09:00,124.0,124.0,111.0,113.0,10732749.45986166,1250644069.863813,1
2021-02-11T01:00:00+09:00,113.0,119.0,112.0,118.0,1794131.59356915,206989713.5241045,1
2021-02-11T05:00:00+09:00,118.0,124.0,117.0,122.0,4038604.98500899,487954682.4552592,1
2021-02-11T09:00:00+09:00,122.0,140.0,120.0,137.0,22088761.08687595,2901854135.8584404,0
2021-02-11T13:00:00+09:00,137.0,137.0,130.0,131.0,5854618.52456364,777194563.4984418,1
2021-02-11T17:00:00+09:00,132.0,142.0,130.0,135.0,11313045.13844128,1549564618.9657989,0
2021-02-11T21:00:00+09:00,135.0,138.0,131.0,135.0,6110307.35996665,818595497.995908,0
2021-02-12T01:00:00+09:00,137.0,137.0,133.0,135.0,1337951.19209042,180311433.51176038,0
2021-02-12T05:00:00+09:00,135.0,140.0,132.0,136.0,3387007.33873911,459985903.01101327,1
2021-02-12T09:00:00+09:00,137.0,141.0,136.0,138.0,5602396.77245908,772782480.5551358,0
2021-02-12T13:00:00+09:00,138.0,138.0,130.0,135.0,5597993.38011358,748455882.5061424,1
2021-02-12T17:00:00+09:00,135.0,139.0,134.0,138.0,4707372.14810487,643115995.7873312,0
2021-02-12T21:00:00+09:00,138.0,139.0,132.0,137.0,5387277.4082936,736580997.0341353,1
2021-02-13T01:00:00+09:00,137.0,142.0,136.0,141.0,1966807.73931313,274560506.37944937,0
2021-02-13T05:00:00+09:00,142.0,144.0,139.0,142.0,2145051.65217301,302177356.56271374,1
2021-02-13T09:00:00+09:00,141.0,146.0,139.0,145.0,5787404.34072687,825597473.7050501,0
2021-02-13T13:00:00+09:00,144.0,148.0,141.0,142.0,6103687.53980355,889069377.7409937,0
2021-02-13T17:00:00+09:00,141.0,146.0,134.0,136.0,6330344.9396497,883604939.5230775,1
2021-02-13T21:00:00+09:00,137.0,145.0,134.0,144.0,3967611.0443744,556793597.9696373,1
2021-02-14T01:00:00+09:00,144.0,154.0,142.0,148.0,6563007.62212866,975127727.9093055,1
2021-02-14T05:00:00+09:00,148.0,152.0,143.0,151.0,3015101.52140056,446530570.9911282,0
2021-02-14T09:00:00+09:00,151.0,153.0,143.0,147.0,6003375.07869756,888605072.3816519,0
2021-02-14T13:00:00+09:00,147.0,149.0,142.0,146.0,4959045.46036087,718917146.4455976,1
2021-02-14T17:00:00+09:00,145.0,152.0,145.0,149.0,6841857.60920529,1016490364.733227,0
2021-02-14T21:00:00+09:00,148.0,151.0,134.0,139.0,6533198.49007991,936205058.0030346,1
2021-02-15T01:00:00+09:00,139.0,143.0,139.0,142.0,791576.17956253,111568359.06606555,1
2021-02-15T05:00:00+09:00,141.0,147.0,141.0,146.0,2117184.52552679,306992870.6652691,1
2021-02-15T09:00:00+09:00,146.0,209.0,144.0,204.0,147842830.92198503,27348608878.011196,0
2021-02-15T13:00:00+09:00,204.0,215.0,187.0,197.0,100096654.38619643,19919209982.215942,0
2021-02-15T17:00:00+09:00,197.0,203.0,182.0,191.0,62793253.70900018,12072081917.46344,1
2021-02-15T21:00:00+09:00,191.0,226.0,186.0,203.0,198866669.56378675,41628480125.41419,0
2021-02-16T01:00:00+09:00,204.0,208.0,198.0,200.0,21346569.86047059,4329516980.010455,1
2021-02-16T05:00:00+09:00,200.0,207.0,192.0,204.0,18835440.70138654,3734941643.9666,0
2021-02-16T09:00:00+09:00,205.0,208.0,184.0,199.0,36204605.56250002,7041905087.739351,0
2021-02-16T13:00:00+09:00,199.0,212.0,196.0,199.0,41826076.51118072,8509005167.767643,0
2021-02-16T17:00:00+09:00,199.0,200.0,195.0,195.0,10103310.42211986,1996313648.6922958,0
2021-02-16T21:00:00+09:00,195.0,197.0,190.0,194.0,13409982.91732733,2596336728.8072553,0
2021-02-17T01:00:00+09:00,194.0,194.0,188.0,192.0,3559285.50548646,679451922.242103,0
2021-02-17T05:00:00+09:00,192.0,195.0,187.0,193.0,3809115.22077451,728935495.9223961,0
2021-02-17T09:00:00+09:00,193.0,194.0,173.0,175.0,18812472.8929221,3415077183.15356,1
2021-02-17T13:00:00+09:00,175.0,188.0,174.0,184.0,15516216.76715093,2792219078.4867263,0
2021-02-17T17:00:00+09:00,184.0,187.0,182.0,184.0,6406916.99729076,1182448613.5419464,1
2021-02-17T21:00:00+09:00,184.0,192.0,180.0,188.0,13677622.5188009,2549968596.636925,1
2021-02-18T01:00:00+09:00,188.0,193.0,187.0,190.0,2575960.88348013,489593178.3100937,0
2021-02-18T05:00:00+09:00,190.0,193.0,184.0,185.0,6620899.33488872,1247236275.0907524,1
2021-02-18T09:00:00+09:00,185.0,215.0,184.0,206.0,48811427.22808603,9887102891.385715,0
2021-02-18T13:00:00+09:00,206.0,209.0,193.0,197.0,14897272.52344948,3005736481.588001,1
2021-02-18T17:00:00+09:00,198.0,207.0,186.0,199.0,14036078.6894284,2762583025.1758633,1
2021-02-18T21:00:00+09:00,198.0,218.0,195.0,210.0,15852297.21394254,3284366350.398796,0
2021-02-19T01:00:00+09:00,210.0,219.0,209.0,211.0,3277141.55901314,698262472.8941048,1
2021-02-19T05:00:00+09:00,212.0,230.0,208.0,229.0,9945136.35639289,2178921569.724808,0
2021-02-19T09:00:00+09:00,229.0,295.0,200.0,214.0,35662248.52138223,8235927143.989143,1
2021-02-19T13:00:00+09:00,213.0,236.0,207.0,221.0,10100503.89940562,2207342801.086839,1
2021-02-19T17:00:00+09:00,222.0,227.0,218.0,224.0,7058362.02273534,1570837297.3292525,1
2021-02-19T21:00:00+09:00,225.0,241.0,220.0,231.0,18022874.44068006,4160711774.6940274,0
2021-02-20T01:00:00+09:00,231.0,234.0,224.0,229.0,2458265.48615307,564255921.5274131,1
2021-02-20T05:00:00+09:00,228.0,234.0,224.0,233.0,4788613.17580638,1102783409.5757003,0
2021-02-20T09:00:00+09:00,233.0,233.0,213.0,224.0,17023773.0002085,3781749526.868745,0
2021-02-20T13:00:00+09:00,223.0,236.0,222.0,225.0,8550216.1313631,1946432138.9963732,1
2021-02-20T17:00:00+09:00,226.0,230.0,224.0,228.0,4435343.71934715,1004540336.953058,0
2021-02-20T21:00:00+09:00,229.0,233.0,219.0,223.0,10073954.63193312,2285140008.7268248,0
2021-02-21T01:00:00+09:00,223.0,227.0,220.0,223.0,2045735.07234747,458233614.94998467,0
2021-02-21T05:00:00+09:00,223.0,226.0,215.0,219.0,4325046.73366894,949468307.2486503,1
2021-02-21T09:00:00+09:00,220.0,277.0,216.0,242.0,98469754.3251284,24545620439.727524,0
2021-02-21T13:00:00+09:00,242.0,254.0,231.0,231.0,17405360.2794084,4178236485.8993826,1
2021-02-21T17:00:00+09:00,233.0,260.0,226.0,236.0,19629231.56392327,4745675362.988878,0
2021-02-21T21:00:00+09:00,236.0,242.0,228.0,230.0,9190581.75711296,2157009901.3649607,1
2021-02-22T01:00:00+09:00,230.0,234.0,229.0,234.0,1735615.13139893,401420082.23866814,1
2021-02-22T05:00:00+09:00,233.0,237.0,229.0,237.0,2908549.74923122,677699335.7579224,0
2021-02-22T09:00:00+09:00,236.0,245.0,228.0,235.0,7769803.88502159,1835669522.7871778,0
2021-02-22T13:00:00+09:00,236.0,236.0,215.0,226.0,13882808.65076683,3096582209.1098332,0
2021-02-22T17:00:00+09:00,225.0,229.0,207.0,215.0,11278485.5926709,2427497326.507132,0
2021-02-22T21:00:00+09:00,214.0,214.0,178.0,200.0,22292136.16107962,4315115471.648609,0
2021-02-23T01:00:00+09:00,200.0,204.0,188.0,197.0,1705481.34667135,336667256.1440936,1
2021-02-23T05:00:00+09:00,199.0,213.0,197.0,213.0,4436927.97390633,919518395.2628603,0
2021-02-23T09:00:00+09:00,212.0,213.0,176.0,183.0,9795344.20924111,1871880960.2826302,0
2021-02-23T13:00:00+09:00,182.0,186.0,162.0,169.0,9233026.24198825,1587567246.0534894,0
2021-02-23T17:00:00+09:00,169.0,169.0,137.0,142.0,15260169.0751573,2269433429.8881836,1
2021-02-23T21:00:00+09:00,142.0,162.0,139.0,159.0,9545812.25551264,1457008280.996234,0
2021-02-24T01:00:00+09:00,159.0,162.0,148.0,148.0,1151091.80375791,179976600.38546044,1
2021-02-24T05:00:00+09:00,149.0,162.0,147.0,161.0,2376752.16976886,370964364.7370178,1
2021-02-24T09:00:00+09:00,166.0,197.0,140.0,177.0,35318824.61765751,5999399039.954569,0
2021-02-24T13:00:00+09:00,177.0,181.0,157.0,170.0,6719469.23721196,1145152729.352295,0
2021-02-24T17:00:00+09:00,169.0,175.0,168.0,171.0,2623320.04738249,448798512.1880687,0
2021-02-24T21:00:00+09:00,171.0,176.0,156.0,166.0,5314831.98303093,880226314.1816564,0
2021-02-25T01:00:00+09:00,165.0,170.0,164.0,167.0,830875.09295697,138044915.92303956,1
2021-02-25T05:00:00+09:00,165.0,174.0,161.0,173.0,1650688.42137872,277340216.1385945,1
2021-02-25T09:00:00+09:00,173.0,194.0,172.0,185.0,29787475.73700336,5516005689.785693,0
2021-02-25T13:00:00+09:00,185.0,190.0,181.0,185.0,7173170.26074126,1329704572.0713313,1
2021-02-25T17:00:00+09:00,186.0,195.0,177.0,191.0,14643638.9040024,2739540997.9792247,1
2021-02-25T21:00:00+09:00,192.0,203.0,187.0,194.0,19308348.75719716,3738016664.48608,0
2021-02-26T01:00:00+09:00,194.0,201.0,189.0,194.0,3194428.20033502,623018658.9943538,0
