Time,OpeningPrice,HighPrice,LowPrice,TradePrice,CandleAccTradeVolume,candleAccTradePrice,up
2021-03-28T09:00:00+09:00,64.9,65.1,64.5,65.0,17874062.18761231,1157320027.5327952,0
2021-03-28T10:00:00+09:00,65.0,65.1,64.8,65.0,12894910.03599596,837631163.024624,0
2021-03-28T11:00:00+09:00,65.0,65.2,64.9,64.9,12757859.01061922,829531142.1787581,0
2021-03-28T12:00:00+09:00,64.9,65.2,64.9,65.0,7644608.1102715,497164053.69740856,0
2021-03-28T13:00:00+09:00,65.0,65.4,65.0,65.2,9984133.23256505,650914222.7647593,0
2021-03-28T14:00:00+09:00,65.2,65.3,65.0,65.1,6137811.70728954,399919627.2971672,0
2021-03-28T15:00:00+09:00,65.2,65.2,64.9,64.9,10125087.56007364,658724843.6939427,0
2021-03-28T16:00:00+09:00,64.9,65.2,64.8,65.0,5713464.63604508,371444822.8451695,0
2021-03-28T17:00:00+09:00,65.0,65.1,64.9,65.0,5892079.73931831,383148907.39122784,0
2021-03-28T18:00:00+09:00,65.0,65.2,64.9,65.0,7771490.03024851,505603489.202972,0
2021-03-28T19:00:00+09:00,65.0,65.1,64.4,64.6,18093372.34822218,1170367136.48666,0
2021-03-28T20:00:00+09:00,64.6,64.8,64.5,64.6,7405070.25938112,478516492.7306657,0
2021-03-28T21:00:00+09:00,64.6,64.6,64.0,64.3,20470449.7629496,1315850703.3218062,0
2021-03-28T22:00:00+09:00,64.2,64.7,64.2,64.5,11035085.33104851,711496916.608001,0
2021-03-28T23:00:00+09:00,64.5,64.8,64.5,64.7,6949487.41786836,449065672.83404547,0
2021-03-29T00:00:00+09:00,64.7,65.0,64.6,64.9,9658269.23437817,625525686.4704726,0
2021-03-29T01:00:00+09:00,64.8,65.0,64.7,64.9,6978026.70141024,452519075.53856605,0
2021-03-29T02:00:00+09:00,64.9,65.1,64.8,64.9,5071187.36130431,329384578.585589,0
2021-03-29T03:00:00+09:00,64.9,65.1,64.8,65.0,3032366.53868047,197028436.3969731,0
2021-03-29T04:00:00+09:00,65.0,65.0,64.6,64.8,3122165.23276615,202311609.99193212,0
2021-03-29T05:00:00+09:00,64.8,64.8,64.5,64.5,2974488.38432498,192226533.07088843,0
2021-03-29T06:00:00+09:00,64.5,64.8,64.4,64.7,4386920.45253218,283329749.4825293,0
