Index,Time,OpeningPrice,HighPrice,LowPrice,TradePrice,CandleAccTradeVolume,candleAccTradePrice,up
0,2021-03-28T09:00:00+09:00,350.0,382.0,342.0,371.0,14503105.22153001,5299088374.485965,1
1,2021-03-28T10:00:00+09:00,370.0,392.0,358.0,386.0,12933069.67739481,4866690021.480302,0
2,2021-03-28T11:00:00+09:00,385.0,395.0,372.0,379.0,10090619.29367742,3870186649.090536,0
3,2021-03-28T12:00:00+09:00,379.0,381.0,372.0,375.0,3715239.04067759,1399958646.1909332,0
4,2021-03-28T13:00:00+09:00,373.0,383.0,371.0,376.0,2093311.92777133,788064934.0418135,0
5,2021-03-28T14:00:00+09:00,377.0,390.0,375.0,377.0,2016301.20920966,768168358.2182845,0
6,2021-03-28T15:00:00+09:00,377.0,384.0,375.0,378.0,2276480.06581842,863666000.1652782,0
7,2021-03-28T16:00:00+09:00,378.0,381.0,371.0,375.0,2461532.01539933,926398001.8334358,0
8,2021-03-28T17:00:00+09:00,375.0,383.0,373.0,378.0,2495482.53952058,943108990.4246637,0
9,2021-03-28T18:00:00+09:00,378.0,389.0,377.0,379.0,2903146.55658068,1112496043.8865447,0
10,2021-03-28T19:00:00+09:00,379.0,381.0,368.0,373.0,3092873.1558593,1154790035.751859,0
11,2021-03-28T20:00:00+09:00,373.0,376.0,368.0,372.0,1349379.57622391,500390164.7320818,0
12,2021-03-28T21:00:00+09:00,372.0,373.0,350.0,369.0,3421076.18543471,1243939069.454134,1
13,2021-03-28T22:00:00+09:00,369.0,378.0,367.0,374.0,1254104.47539831,466437599.66928786,1
14,2021-03-28T23:00:00+09:00,374.0,382.0,371.0,379.0,1173933.3474022,443557600.927418,0
15,2021-03-29T00:00:00+09:00,379.0,381.0,372.0,373.0,854172.88435007,320654994.96242553,0
16,2021-03-29T01:00:00+09:00,373.0,377.0,370.0,374.0,611995.06620185,227821633.9646071,0
17,2021-03-29T02:00:00+09:00,374.0,376.0,371.0,373.0,146380.74856548,54573600.96912835,0
18,2021-03-29T03:00:00+09:00,373.0,376.0,369.0,369.0,284437.40380499,105750878.79756968,1
19,2021-03-29T04:00:00+09:00,369.0,378.0,368.0,377.0,264811.12653359,98999825.172129,0
20,2021-03-29T05:00:00+09:00,376.0,378.0,372.0,378.0,180923.11576244,67912667.07874128,0
21,2021-03-29T06:00:00+09:00,376.0,382.0,376.0,377.0,353196.47064101,133816647.65114108,0
22,2021-03-29T07:00:00+09:00,377.0,380.0,372.0,374.0,928598.16998949,348442024.85002655,0
23,2021-03-29T08:00:00+09:00,376.0,380.0,373.0,374.0,826456.64122101,310503434.8333282,0
24,2021-03-29T09:00:00+09:00,374.0,380.0,356.0,360.0,3323901.94279884,1215443051.17822,1
25,2021-03-29T10:00:00+09:00,362.0,368.0,360.0,365.0,1510463.8568711,550194230.6488026,0
26,2021-03-29T11:00:00+09:00,365.0,366.0,360.0,363.0,1069905.24792327,388889792.25678486,1
27,2021-03-29T12:00:00+09:00,364.0,376.0,363.0,371.0,983585.49058915,364570013.8831236,0
28,2021-03-29T13:00:00+09:00,372.0,372.0,363.0,367.0,1225804.49771766,449806868.22489554,0
29,2021-03-29T14:00:00+09:00,367.0,367.0,361.0,366.0,1462984.6891204,531810759.2065453,0
30,2021-03-29T15:00:00+09:00,367.0,370.0,365.0,368.0,921554.25419387,338901392.27101624,0
31,2021-03-29T16:00:00+09:00,368.0,373.0,366.0,370.0,903256.0911854,333343030.60523087,0
32,2021-03-29T17:00:00+09:00,369.0,374.0,368.0,370.0,745811.387237,276640364.9422925,1
33,2021-03-29T18:00:00+09:00,372.0,376.0,369.0,376.0,1219953.16489363,455600239.57832694,0
34,2021-03-29T19:00:00+09:00,375.0,379.0,371.0,374.0,1211901.34413616,454563535.8007802,1
35,2021-03-29T20:00:00+09:00,375.0,379.0,375.0,378.0,837320.97395506,316227135.59126556,0
36,2021-03-29T21:00:00+09:00,379.0,383.0,375.0,380.0,1393048.95996952,528445280.711242,0
37,2021-03-29T22:00:00+09:00,380.0,390.0,374.0,383.0,3133978.1370155,1200678499.2593544,0
38,2021-03-29T23:00:00+09:00,384.0,385.0,375.0,382.0,2577595.03535209,983026478.2462888,0
39,2021-03-30T00:00:00+09:00,383.0,394.0,378.0,385.0,4279944.8882128,1654414587.842247,0
40,2021-03-30T01:00:00+09:00,385.0,387.0,382.0,384.0,774451.73560662,297871358.11725324,0
41,2021-03-30T02:00:00+09:00,384.0,388.0,383.0,387.0,539923.1188264,208191144.26669842,1
42,2021-03-30T03:00:00+09:00,387.0,421.0,385.0,392.0,13565969.46551635,5494830054.852907,0
43,2021-03-30T04:00:00+09:00,393.0,396.0,387.0,392.0,932877.58895638,365842206.94698966,1
44,2021-03-30T05:00:00+09:00,394.0,410.0,392.0,410.0,2104447.05639975,847857443.0050793,0
45,2021-03-30T06:00:00+09:00,409.0,419.0,402.0,413.0,2757996.74408495,1132311173.1042109,0
46,2021-03-30T07:00:00+09:00,413.0,419.0,407.0,416.0,2952489.40073759,1224384099.5275493,1
47,2021-03-30T08:00:00+09:00,416.0,431.0,413.0,428.0,5161773.78206516,2178668486.1797457,1
48,2021-03-30T09:00:00+09:00,428.0,490.0,415.0,454.0,37221495.87501206,16985185058.479523,1
49,2021-03-30T10:00:00+09:00,454.0,470.0,449.0,466.0,8139543.14984848,3736490482.6329618,0
50,2021-03-30T11:00:00+09:00,466.0,467.0,449.0,452.0,4273964.79795256,1945663354.5160189,0
51,2021-03-30T12:00:00+09:00,453.0,458.0,443.0,449.0,5211373.73614947,2344768954.9162073,1
52,2021-03-30T13:00:00+09:00,449.0,463.0,447.0,455.0,2182059.69865514,990174662.4685324,1
53,2021-03-30T14:00:00+09:00,455.0,466.0,452.0,464.0,3384394.7338012,1551315857.3951929,0
54,2021-03-30T15:00:00+09:00,464.0,465.0,452.0,454.0,2279306.57956267,1041532718.0412042,0
55,2021-03-30T16:00:00+09:00,453.0,456.0,445.0,448.0,1917395.89575909,865685323.9686886,0
56,2021-03-30T17:00:00+09:00,448.0,450.0,435.0,440.0,2342448.81468952,1035285289.9910753,1
57,2021-03-30T18:00:00+09:00,440.0,447.0,438.0,445.0,1660644.27191399,735062858.3446368,0
58,2021-03-30T19:00:00+09:00,446.0,448.0,429.0,434.0,2665294.14007001,1164433571.6018193,0
59,2021-03-30T20:00:00+09:00,435.0,442.0,433.0,434.0,1233134.5224426,539364944.5158306,0
