Time,OpeningPrice,HighPrice,LowPrice,TradePrice,CandleAccTradeVolume,candleAccTradePrice,up
2021-02-06T13:00:00+09:00,886.0,924.0,869.0,898.0,5047887.90170548,4557441647.101426,0
2021-02-06T17:00:00+09:00,895.0,920.0,840.0,859.0,2701905.05935444,2412416031.1923723,0
2021-02-06T21:00:00+09:00,859.0,866.0,835.0,848.0,770977.98119344,655391818.5451967,0
2021-02-07T01:00:00+09:00,848.0,867.0,822.0,842.0,718114.50548719,604340723.8983104,1
2021-02-07T05:00:00+09:00,842.0,880.0,841.0,854.0,872556.76981462,753115622.9728209,0
2021-02-07T09:00:00+09:00,854.0,869.0,787.0,797.0,1858068.12661136,1525722652.8862076,0
2021-02-07T13:00:00+09:00,798.0,816.0,790.0,800.0,869046.71434463,694991126.3441523,1
2021-02-07T17:00:00+09:00,800.0,815.0,797.0,810.0,584541.99194177,471533432.0761525,0
2021-02-07T21:00:00+09:00,810.0,813.0,771.0,775.0,835187.47691683,660350785.6104636,1
2021-02-08T01:00:00+09:00,774.0,798.0,768.0,793.0,241681.7104132,187859439.09950364,1
2021-02-08T05:00:00+09:00,792.0,805.0,783.0,805.0,297418.17578106,237491209.12366748,0
2021-02-08T09:00:00+09:00,805.0,805.0,790.0,793.0,367331.23342284,292385530.008986,1
2021-02-08T13:00:00+09:00,794.0,831.0,793.0,817.0,441834.73557805,360567329.8230161,1
2021-02-08T17:00:00+09:00,817.0,850.0,813.0,835.0,1120121.40186381,937885347.8651651,0
2021-02-08T21:00:00+09:00,835.0,845.0,803.0,820.0,680172.65596982,560052308.7454503,0
2021-02-09T01:00:00+09:00,819.0,850.0,816.0,828.0,289788.98946796,241601509.00079414,1
2021-02-09T05:00:00+09:00,828.0,846.0,824.0,841.0,215089.14388331,179671845.7418104,1
2021-02-09T09:00:00+09:00,839.0,886.0,829.0,856.0,2586802.75479988,2228952926.408193,1
2021-02-09T13:00:00+09:00,856.0,873.0,841.0,865.0,863823.7510646,737621082.781889,1
2021-02-09T17:00:00+09:00,862.0,879.0,849.0,876.0,577617.72572481,497922690.1603818,1
2021-02-09T21:00:00+09:00,877.0,893.0,851.0,885.0,1357487.45031987,1190282200.8032427,1
2021-02-10T01:00:00+09:00,884.0,916.0,876.0,906.0,333491.17357563,298676750.1176262,0
2021-02-10T05:00:00+09:00,906.0,920.0,880.0,905.0,576654.96008279,521262460.6199472,0
2021-02-10T09:00:00+09:00,905.0,917.0,872.0,910.0,727739.13865156,655457977.8081744,0
2021-02-10T13:00:00+09:00,909.0,913.0,870.0,904.0,473049.26642793,424370410.81419396,1
2021-02-10T17:00:00+09:00,904.0,937.0,893.0,930.0,1071634.69051972,979826954.0424964,0
2021-02-10T21:00:00+09:00,928.0,932.0,857.0,871.0,1474387.67054883,1303773061.4423378,1
2021-02-11T01:00:00+09:00,871.0,911.0,864.0,910.0,185143.03545293,164768724.38158548,1
2021-02-11T05:00:00+09:00,910.0,983.0,903.0,967.0,917611.99670059,879872808.1723365,1
2021-02-11T09:00:00+09:00,968.0,1060.0,932.0,1050.0,2309558.95673878,2298873879.995775,0
2021-02-11T13:00:00+09:00,1055.0,1130.0,1015.0,1020.0,3155861.30280843,3366239382.9262824,1
2021-02-11T17:00:00+09:00,1020.0,1145.0,990.0,1090.0,3175721.87955559,3404681978.677702,1
2021-02-11T21:00:00+09:00,1090.0,1210.0,1080.0,1170.0,2681328.42981801,3074734649.466557,0
2021-02-12T01:00:00+09:00,1170.0,1240.0,1130.0,1155.0,803117.14748278,953194255.1145793,1
2021-02-12T05:00:00+09:00,1160.0,1240.0,1125.0,1195.0,853445.585748,1010683263.0635808,0
2021-02-12T09:00:00+09:00,1190.0,1280.0,1140.0,1170.0,1404904.8878356,1693073692.4042616,0
2021-02-12T13:00:00+09:00,1170.0,1190.0,1090.0,1180.0,914946.51438921,1049224127.9666549,1
2021-02-12T17:00:00+09:00,1180.0,1225.0,1175.0,1205.0,398372.04833128,478185432.38594854,0
2021-02-12T21:00:00+09:00,1210.0,1210.0,1135.0,1205.0,984525.67301212,1154962202.4945333,1
2021-02-13T01:00:00+09:00,1205.0,1260.0,1200.0,1250.0,317695.72217375,393451644.572961,0
2021-02-13T05:00:00+09:00,1245.0,1270.0,1210.0,1230.0,257265.66080305,319270748.80250096,1
2021-02-13T09:00:00+09:00,1235.0,1305.0,1210.0,1300.0,695626.04629871,873987810.1045301,0
2021-02-13T13:00:00+09:00,1305.0,1380.0,1270.0,1290.0,1429514.53657182,1889078899.1731,0
2021-02-13T17:00:00+09:00,1290.0,1355.0,1160.0,1210.0,855871.56159119,1081386431.6692913,1
2021-02-13T21:00:00+09:00,1210.0,1420.0,1200.0,1390.0,1147086.8380447,1548757724.7754576,0
2021-02-14T01:00:00+09:00,1390.0,1400.0,1320.0,1365.0,282401.98282805,384161898.0317606,1
2021-02-14T05:00:00+09:00,1360.0,1400.0,1340.0,1390.0,174559.20238798,239865781.6164689,1
2021-02-14T09:00:00+09:00,1390.0,1530.0,1370.0,1505.0,2551684.205744,3720140212.888773,0
2021-02-14T13:00:00+09:00,1505.0,1650.0,1455.0,1485.0,4842368.89051756,7518222098.798961,1
2021-02-14T17:00:00+09:00,1485.0,1540.0,1430.0,1525.0,1565296.71678393,2339265032.1984987,0
2021-02-14T21:00:00+09:00,1525.0,1555.0,1380.0,1395.0,2786934.81704424,4060943683.0148025,1
2021-02-15T01:00:00+09:00,1395.0,1445.0,1360.0,1435.0,392359.29683211,550526428.7301178,0
2021-02-15T05:00:00+09:00,1425.0,1465.0,1395.0,1405.0,523401.25982607,749165400.0923274,1
2021-02-15T09:00:00+09:00,1400.0,1605.0,1165.0,1455.0,5725433.2949982,8258494366.6315565,0
2021-02-15T13:00:00+09:00,1455.0,1480.0,1320.0,1460.0,2110841.94959703,2986926388.723686,0
2021-02-15T17:00:00+09:00,1460.0,1475.0,1370.0,1450.0,944745.87705636,1358123553.964217,1
2021-02-15T21:00:00+09:00,1450.0,1505.0,1380.0,1495.0,1349150.22028914,1948663031.3679438,1
2021-02-16T01:00:00+09:00,1500.0,1600.0,1460.0,1570.0,615439.42384604,940575557.721739,0
2021-02-16T05:00:00+09:00,1565.0,1575.0,1425.0,1485.0,340688.50317452,509852959.3281931,1
2021-02-16T09:00:00+09:00,1490.0,1535.0,1380.0,1505.0,556238.91603801,821488649.802855,0
2021-02-16T13:00:00+09:00,1505.0,1570.0,1430.0,1470.0,509179.39957384,759390668.5699017,0
2021-02-16T17:00:00+09:00,1470.0,1510.0,1445.0,1450.0,526021.85821995,778782781.6695561,0
2021-02-16T21:00:00+09:00,1455.0,1480.0,1425.0,1445.0,577872.16164649,838309358.5432664,0
2021-02-17T01:00:00+09:00,1445.0,1450.0,1390.0,1400.0,245040.60135334,346262746.88336325,1
2021-02-17T05:00:00+09:00,1395.0,1435.0,1360.0,1430.0,333750.28348196,466182661.5571055,0
2021-02-17T09:00:00+09:00,1430.0,1450.0,1330.0,1340.0,757155.28484114,1047271769.6299187,1
2021-02-17T13:00:00+09:00,1340.0,1395.0,1305.0,1385.0,769416.10132009,1036686916.0889739,0
2021-02-17T17:00:00+09:00,1385.0,1405.0,1350.0,1375.0,498802.24846327,687502115.4357009,1
2021-02-17T21:00:00+09:00,1375.0,1490.0,1350.0,1415.0,1004630.90161227,1418639421.374724,0
2021-02-18T01:00:00+09:00,1425.0,1445.0,1405.0,1420.0,192965.0784357,274440642.4364753,0
2021-02-18T05:00:00+09:00,1415.0,1450.0,1375.0,1400.0,391520.74534534,553537422.7722976,1
2021-02-18T09:00:00+09:00,1400.0,1515.0,1380.0,1505.0,1347998.96996862,1979589200.555706,0
2021-02-18T13:00:00+09:00,1500.0,1570.0,1405.0,1460.0,1165842.51520146,1742077589.7708755,0
2021-02-18T17:00:00+09:00,1465.0,1530.0,1385.0,1440.0,1226166.99511489,1775235311.2085476,1
2021-02-18T21:00:00+09:00,1445.0,1550.0,1420.0,1500.0,894609.74695444,1324105164.4001424,0
2021-02-19T01:00:00+09:00,1495.0,1535.0,1480.0,1510.0,211040.97784442,319200630.54282403,1
2021-02-19T05:00:00+09:00,1510.0,1560.0,1505.0,1555.0,474007.3865067,725728258.7731084,0
2021-02-19T09:00:00+09:00,1555.0,1615.0,1435.0,1495.0,1415332.02241157,2141797402.3717399,1
2021-02-19T13:00:00+09:00,1510.0,1810.0,1480.0,1600.0,1884959.11763785,3056753965.107948,1
2021-02-19T17:00:00+09:00,1595.0,1750.0,1580.0,1630.0,1281617.90507923,2100010817.9523091,1
2021-02-19T21:00:00+09:00,1630.0,1700.0,1590.0,1665.0,1149756.34236464,1878001078.0743034,0
2021-02-20T01:00:00+09:00,1660.0,1680.0,1615.0,1625.0,163221.4089198,267239042.0599693,1
2021-02-20T05:00:00+09:00,1625.0,1700.0,1610.0,1665.0,395193.37870239,654254157.8448308,0
2021-02-20T09:00:00+09:00,1665.0,1790.0,1580.0,1675.0,2755547.87163721,4673528272.634951,0
2021-02-20T13:00:00+09:00,1680.0,1710.0,1650.0,1680.0,408589.03284854,686266741.544588,1
2021-02-20T17:00:00+09:00,1670.0,1725.0,1670.0,1705.0,348356.03086592,592885215.3854599,0
2021-02-20T21:00:00+09:00,1705.0,1725.0,1590.0,1640.0,781323.77768562,1297585614.1739829,1
2021-02-21T01:00:00+09:00,1640.0,1790.0,1635.0,1755.0,462678.47235231,789377466.5312897,0
2021-02-21T05:00:00+09:00,1760.0,1800.0,1585.0,1645.0,489416.03393658,825750773.2218748,1
2021-02-21T09:00:00+09:00,1635.0,1760.0,1585.0,1725.0,1882959.6735355,3188537848.1350875,0
2021-02-21T13:00:00+09:00,1720.0,1730.0,1630.0,1655.0,603233.66119979,1015045920.293315,1
2021-02-21T17:00:00+09:00,1665.0,1900.0,1650.0,1715.0,2141144.82389823,3783606294.9094753,1
2021-02-21T21:00:00+09:00,1715.0,2000.0,1700.0,1955.0,3655751.53668487,6759398709.879745,0
2021-02-22T01:00:00+09:00,1990.0,2400.0,1830.0,1955.0,10813612.84919027,22145666743.626087,0
2021-02-22T05:00:00+09:00,1950.0,1995.0,1805.0,1865.0,1267453.78891037,2402259441.9639535,1
2021-02-22T09:00:00+09:00,1870.0,2615.0,1865.0,2005.0,8505418.08017168,18309401946.759575,0
2021-02-22T13:00:00+09:00,2010.0,2150.0,1875.0,1965.0,3566354.08086938,7089405461.509227,0
2021-02-22T17:00:00+09:00,1955.0,2070.0,1700.0,1920.0,3475089.61589174,6534210482.860017,0
2021-02-22T21:00:00+09:00,1920.0,1920.0,1490.0,1670.0,4446630.09371118,7480817374.204026,0
2021-02-23T01:00:00+09:00,1665.0,1720.0,1600.0,1675.0,311119.57434778,518083353.67585075,1
2021-02-23T05:00:00+09:00,1670.0,1835.0,1625.0,1800.0,1101037.59897776,1940811166.026784,0
