Index,Time,OpeningPrice,HighPrice,LowPrice,TradePrice,CandleAccTradeVolume,candleAccTradePrice,up
0,2021-03-28T09:00:00+09:00,23.0,23.1,22.1,22.5,312912502.4891902,7013246680.690751,0
1,2021-03-28T10:00:00+09:00,22.5,22.8,22.2,22.3,198859557.64269954,4463310330.266939,0
2,2021-03-28T11:00:00+09:00,22.3,22.4,22.0,22.3,150929552.1071692,3348979286.334629,0
3,2021-03-28T12:00:00+09:00,22.3,22.7,22.2,22.6,116320078.56439704,2609814198.757703,1
4,2021-03-28T13:00:00+09:00,22.7,23.0,22.4,22.5,203607625.17659062,4617963664.563197,1
5,2021-03-28T14:00:00+09:00,22.5,22.6,22.3,22.3,93376682.66323148,2092997268.989988,0
6,2021-03-28T15:00:00+09:00,22.3,22.4,22.3,22.3,56243960.93749064,1256998073.2064705,0
7,2021-03-28T16:00:00+09:00,22.4,22.5,22.3,22.4,49015469.34486934,1096901401.5507452,0
8,2021-03-28T17:00:00+09:00,22.4,22.5,22.3,22.4,60056225.24697147,1343913149.0816395,0
9,2021-03-28T18:00:00+09:00,22.4,22.5,22.4,22.4,53743321.9580228,1206479954.6000006,1
10,2021-03-28T19:00:00+09:00,22.4,22.5,22.1,22.2,126856842.05976774,2821451016.5865865,0
11,2021-03-28T20:00:00+09:00,22.2,22.3,22.1,22.2,69630505.97159126,1544749781.2918837,0
12,2021-03-28T21:00:00+09:00,22.2,22.6,22.1,22.5,289345464.3652235,6502025634.753442,0
13,2021-03-28T22:00:00+09:00,22.5,22.7,22.3,22.5,197266670.3400782,4437439465.518405,0
14,2021-03-28T23:00:00+09:00,22.5,22.6,22.4,22.5,89027322.0768042,1999855896.2882223,0
15,2021-03-29T00:00:00+09:00,22.6,22.8,22.5,22.7,101842837.69088309,2305706985.6330233,0
16,2021-03-29T01:00:00+09:00,22.7,23.0,22.6,22.9,70541058.19454274,1608328631.9411244,1
17,2021-03-29T02:00:00+09:00,22.9,22.9,22.6,22.6,37056700.06206459,841987081.3464386,1
18,2021-03-29T03:00:00+09:00,22.7,22.9,22.5,22.5,30039231.33062373,681733989.6623061,0
19,2021-03-29T04:00:00+09:00,22.6,22.7,22.5,22.6,25800618.70441564,582708964.7362567,0
20,2021-03-29T05:00:00+09:00,22.6,22.8,22.5,22.6,32104478.8448052,727723416.6962888,0
21,2021-03-29T06:00:00+09:00,22.5,22.7,22.5,22.6,35787974.45701735,809349978.3882003,0
22,2021-03-29T07:00:00+09:00,22.6,22.8,22.5,22.8,59102164.71119121,1339187172.9511428,1
