Time,OpeningPrice,HighPrice,LowPrice,TradePrice,CandleAccTradeVolume,candleAccTradePrice,up
2021-03-28T09:00:00+09:00,26.7,26.8,25.5,26.2,76153791.48858681,1984015110.1969903,0
2021-03-28T10:00:00+09:00,26.2,26.4,25.6,25.8,55087368.25569938,1431334991.880679,0
2021-03-28T11:00:00+09:00,25.8,26.1,25.6,26.0,47859620.76663998,1238548337.4828193,1
2021-03-28T12:00:00+09:00,26.0,26.4,25.9,26.4,22449303.44472423,587100446.5356315,0
2021-03-28T13:00:00+09:00,26.3,26.4,26.1,26.4,21937228.72657144,576592442.891122,0
2021-03-28T14:00:00+09:00,26.4,26.5,26.3,26.3,20821326.18309378,549520756.711863,0
2021-03-28T15:00:00+09:00,26.3,26.4,26.0,26.1,22807884.12160623,596516603.1434419,0
2021-03-28T16:00:00+09:00,26.1,26.2,25.5,26.0,41508059.24980705,1073356154.2464703,0
2021-03-28T17:00:00+09:00,26.1,26.2,25.9,26.0,20260327.33462165,526530151.6211593,0
2021-03-28T18:00:00+09:00,26.0,26.2,25.9,25.9,16119185.83417912,419912901.9590808,0
2021-03-28T19:00:00+09:00,26.0,26.1,25.7,25.9,30437628.87679139,786080370.0294328,0
2021-03-28T20:00:00+09:00,25.8,26.0,25.7,25.8,18726166.02398025,484956538.3895408,0
2021-03-28T21:00:00+09:00,25.9,26.2,25.7,26.0,34141515.17300037,885195464.8954787,1
2021-03-28T22:00:00+09:00,26.0,27.2,25.9,26.5,90186541.8270605,2396334684.573799,0
2021-03-28T23:00:00+09:00,26.4,26.8,26.3,26.5,25650077.10028606,680711148.179824,0
2021-03-29T00:00:00+09:00,26.5,26.9,26.4,26.6,25929365.95720069,690511536.2447511,1
2021-03-29T01:00:00+09:00,26.6,27.3,26.5,27.1,22781194.06673509,613102418.4588388,0
2021-03-29T02:00:00+09:00,27.2,27.3,26.6,26.8,17069149.10881466,459795834.4626836,0
2021-03-29T03:00:00+09:00,26.8,26.8,26.5,26.5,9794865.23070584,260922883.2064393,1
2021-03-29T04:00:00+09:00,26.6,27.0,26.4,27.0,7269462.19378708,193277215.32556966,0
2021-03-29T05:00:00+09:00,27.0,27.0,26.6,26.8,7054387.20104311,188967094.40323976,0
2021-03-29T06:00:00+09:00,26.8,26.9,26.5,26.7,8173134.56272902,217671098.90765035,1
2021-03-29T07:00:00+09:00,26.7,27.8,26.5,27.6,37057535.29126363,1008226040.2724519,0
2021-03-29T08:00:00+09:00,27.6,27.7,27.0,27.1,37054847.67218079,1011611826.8364499,0
2021-03-29T09:00:00+09:00,27.1,29.1,26.7,27.2,280733919.510529,7838859415.167699,1
2021-03-29T10:00:00+09:00,27.2,28.6,27.2,28.0,91555388.7957359,2555664529.0513186,1
2021-03-29T11:00:00+09:00,27.9,29.0,27.9,28.5,110907247.51270016,3157007402.0352244,0
2021-03-29T12:00:00+09:00,28.5,28.7,28.2,28.3,43385967.68802916,1233355581.4412596,0
2021-03-29T13:00:00+09:00,28.3,28.4,27.5,28.2,50235453.43923469,1407367885.560152,0
2021-03-29T14:00:00+09:00,28.2,28.4,27.8,28.1,25087966.21504018,705376428.9037017,0
2021-03-29T15:00:00+09:00,28.1,28.3,27.9,28.3,20315124.52568627,569646659.4709785,1
2021-03-29T16:00:00+09:00,28.2,29.0,28.1,28.9,60757558.89537202,1735954205.2371988,1
2021-03-29T17:00:00+09:00,28.9,29.7,28.4,29.3,197303658.73671204,5765078455.130528,0
2021-03-29T18:00:00+09:00,29.3,29.6,28.8,28.8,57988762.26478012,1689042399.0220218,0
2021-03-29T19:00:00+09:00,28.8,29.2,28.5,28.8,84422738.95276792,2430414333.715146,0
2021-03-29T20:00:00+09:00,28.9,29.2,28.6,28.6,48904980.73175697,1414824116.872469,0
2021-03-29T21:00:00+09:00,28.6,29.2,28.6,28.8,47128484.63493374,1360693380.9097025,0
2021-03-29T22:00:00+09:00,28.8,29.1,28.6,28.8,30575180.93512271,880933175.3464916,0
2021-03-29T23:00:00+09:00,28.8,28.9,28.6,28.7,27407707.02622739,786656479.3038797,1
2021-03-30T00:00:00+09:00,28.7,29.5,28.4,29.2,94420129.42673235,2732672304.1812167,0
2021-03-30T01:00:00+09:00,29.3,29.4,28.5,28.7,39042620.15022319,1128406482.0752735,0
2021-03-30T02:00:00+09:00,28.7,28.9,28.5,28.6,13414227.95343625,384836620.2434314,0
2021-03-30T03:00:00+09:00,28.6,28.9,28.2,28.4,26079952.2648862,740396273.6193011,0
2021-03-30T04:00:00+09:00,28.4,28.8,28.1,28.4,11130260.52863109,316498739.98598355,1
2021-03-30T05:00:00+09:00,28.3,29.2,28.1,28.8,28884544.83495213,830707189.7828982,0
2021-03-30T06:00:00+09:00,28.8,28.9,28.2,28.6,29218227.46437552,830704165.2749113,0
2021-03-30T07:00:00+09:00,28.5,28.9,28.4,28.7,21257343.29551693,610020327.0239811,0
2021-03-30T08:00:00+09:00,28.7,29.2,28.5,28.8,43432882.28397755,1253076813.5366313,1
2021-03-30T09:00:00+09:00,28.7,30.4,28.5,29.6,134154101.09992042,3966935346.645559,1
2021-03-30T10:00:00+09:00,29.6,30.7,29.3,29.9,88902054.24572644,2674884949.0882587,0
2021-03-30T11:00:00+09:00,29.9,29.9,29.0,29.4,55061802.74715331,1619947757.8035932,0
2021-03-30T12:00:00+09:00,29.4,29.7,29.0,29.5,52698060.93563123,1541603791.5678415,0
